X,Y,FID,ID,Area,Perimeter,Area_id,Area_type,Descrip,Date,Remark,Area_NEW,Update_
98.9544749407274,18.8110034155562,38,38,385.1,0,L01A0038,A11,บริเวณอนุรักษ์เวียงเจ็ดลิน,12082555, ,385.05004882,
98.9565486186899,18.8098390012522,39,39,696,0,L01A0039,A33,อาคารวิทยบริการ,12082555, ,695.97320556,
98.9558162361036,18.8105074168345,40,40,59.8,0,L01A0040,A33,สำนักงานวิจัย ของ มจท.,12082555, ,59.798583984,
98.9536547858133,18.8124223357199,41,41,5371.3,0,L01A0041,A1,บริเวณสาขาวิชาเคหะภัณฑ์,12082555, ,5371.2578125,
98.953182472331,18.8117806435182,42,42,3876.8,0,L01A0042,A1,บริเวณสาขาวิชาช่างโลหะ,12082555, ,3786.8157958,
98.9528436294041,18.8109319982705,43,43,4450.3,0,L01A0043,A1,บริเวณสาขาบริหารธุรกิจ,12082555, ,4450.328247,
98.953351776494,18.8110579314122,44,44,3100.7,0,L01A0044,A1,บริเวณสาขาเทคนิคอุตสาหการ,12082555, ,3100.6889038,
98.9538261955299,18.811791978604,45,45,4294,0,L01A0045,A1,บริเวณสาขาวิศวกรรมไฟฟ้า,12082555, ,4924.0189208,
98.9555389855731,18.8126291441976,46,46,5061.3,0,L01A0046,A1,บริเวณอาคารท่องเที่ยวและการโรงแรม,12082555, ,5061.3206176,
98.9567130670222,18.8116945591019,47,48,6702.4,0,L01A0047,A1,บริเวณอาคารเรียนสาขาวิชาช่างกลเกษตรและวิศวกรรมเหมืองแร่,12082555, ,6702.4178466,
98.9564986851196,18.8109763066235,48,49,6521.2,0,L01A0048,A1,บริเวณอาคารเรียนสาขาวิศวกรรมโยธาและสิ่งแวดล้อม,12082555, ,6521.1804199,
98.9570486473328,18.8110118476543,49,50,8120.2,0,L01A0049,A1,บริเวณอาคารเรียนสาขาวิชาสถาปัตยกรรม,12082555, ,8120.2376098,
98.9568398863088,18.8098399982414,50,51,1020.5,0,L01A0050,A1,ห้องสมุด,12082555, ,1020.5461425,
98.9567832936181,18.8102404157182,51,52,598.1,0,L01A0051,A1,ห้องประชุม 3,12082555, ,598.06396484,
98.9559626557951,18.809933811152,52,53,4793.5,0,L01A0052,A1,อาคารเรียนสาขาวิศวกรรมเครื่องกล,12082555, ,4793.4754638,
98.9550061964671,18.8107824341007,53,54,1560.8,0,L01A0053,A1,อาคารศึกษาทั่วไป,12082555, ,1560.8009033,
98.9539793451997,18.8110598643632,54,55,257.7,0,L01A0054,A1,สโมสรนักศึกษา,12082555, ,257.73156738,
98.9521748880875,18.8100493819354,55,56,576.8,0,L01A0055,A1,ศาลาราชมงคล,12082555, ,576.83740234,
98.9569815213508,18.8121544627449,56,57,1266.9,0,L01A0056,A1,ฝ่ายอาคารสถานที่,12082555, ,1266.935852,
98.9563533804134,18.8094671786246,57,58,275,0,L01A0057,A1,ฝ่ายยานพาหนะ,12082555, ,274.9767456,
